"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2,2,3,3,2,0,2,0,1,2,-1,1,1,1,2,1
"2",0,0,0,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"3",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"4",-3,0,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5",3,3,3,3,3,-3,3,3,-3,3,-3,-3,-3,-3,-3,-3
"6",1,2,3,3,0,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3
"7",2,3,3,3,-2,3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8",0,0,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"9",2,2,2,2,2,1,2,1,2,2,-1,-2,-1,-2,-1,-2
"10",2,1,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"11",-3,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"12",-1,3,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"13",0,2,3,3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3
"14",2,3,2,2,0,0,1,-3,-3,-3,-3,0,-3,-3,-3,-3
"15",3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"16",3,2,3,3,2,1,1,-2,2,2,-1,1,1,1,-2,-1
"17",-3,2,2,2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"18",0,1,3,2,-1,-1,-3,-3,-2,-1,-3,-3,-3,-3,-3,-3
"19",-2,-2,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"20",-3,2,2,3,-3,-2,-3,-3,3,-3,-3,-3,-3,-3,-3,-3
"21",0,3,3,3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"22",1,2,3,3,1,1,2,1,2,3,3,2,2,3,3,3
"23",2,2,3,3,0,1,1,3,3,3,3,3,3,3,3,3
"24",3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3
"25",3,1,1,2,2,2,3,2,3,3,3,3,3,3,3,3
"26",3,2,3,3,-1,1,1,2,1,3,1,1,1,3,3,3
"27",3,2,3,3,-2,1,-1,1,-1,3,2,-1,1,3,3,-2
"28",1,2,2,3,-1,1,-1,-1,0,1,-2,2,1,3,3,3
"29",-1,1,-1,2,-1,0,1,-1,0,3,1,2,0,3,3,3
"30",-1,-1,1,0,-1,0,-2,-2,2,0,0,1,2,2,0,2
"31",0,2,2,3,-1,1,1,0,2,3,2,1,1,1,2,3
"32",-1,3,1,2,-2,0,2,-1,3,2,2,1,1,2,3,3
"33",1,2,3,3,-1,0,-1,2,3,3,3,3,3,3,3,3
"34",0,0,2,2,0,-1,0,1,1,1,0,2,2,2,2,2
"35",1,1,0,0,0,-2,-1,-1,0,3,3,2,0,3,3,2
"36",0,3,2,3,-1,1,1,2,3,3,3,2,3,3,3,3
"37",0,1,1,1,-1,0,0,0,0,1,3,2,1,3,3,3
"38",0,1,1,1,0,0,1,1,0,1,1,1,1,2,2,2
"39",2,0,1,2,-1,2,1,1,3,0,0,2,1,2,2,0
"40",3,3,2,3,-2,2,1,2,3,3,3,3,3,3,3,3
"41",0,2,2,3,0,0,1,1,2,2,2,2,2,3,3,3
"42",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"43",2,3,2,2,2,2,1,2,3,2,2,2,1,2,3,2
"44",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"45",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"46",3,2,3,2,2,2,3,2,2,3,2,3,3,3,2,3
"47",3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
"48",2,2,1,-1,0,1,-1,2,2,2,2,2,3,2,2,2
"49",2,2,2,2,2,1,2,3,3,3,2,3,3,2,3,3
"50",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"51",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
"52",3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
"53",3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3
"54",3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3
"55",3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
"56",2,2,2,2,1,2,3,2,2,1,1,1,3,2,2,2
"57",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"58",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"59",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"60",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61",2,2,0,3,2,1,1,2,3,3,3,3,3,2,3,3
"62",0,2,2,2,2,0,2,2,2,3,2,1,2,2,3,3
