"","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1"
"1",0,1,-0.294117647058824,0,0.0140983844433978,0,-1,-0.5,-0.5,-0.547722557505166,0,2,-0.0499999999999998,-1,0.778605142710292,0,1,-0.119047619047619,-1,0.647033434219536,0,1,-0.196969696969697,-2,0.763238983114498,0,1,-0.252873563218391,-1,0.662227370339945,0,0,-0.304761904761905,0,0.471426532247853,0,0,-0.264,0,0.553142895649505,0,0,-0.243055555555556,0,0.54870033748566,0,0,-0.279761904761905,0,0.570720816399007,0,0,-0.260869565217391,0,0.608638646154386,0,0,-0.265,0,0.605730066033825,0,0,-0.179824561403509,0,0.606400369779535,0,0,-0.138211382113821,0,0.624478468422508,0,0,-0.0966542750929368,0,0.62843416708023,0,0,-0.1,0,0.60310538257233,0,0,-0.0961538461538461,0,0.559752072372899,0,0,-0.120845921450151,0,0.575871728326345,0,0,-0.152542372881356,0,0.565282228173893,0,0,-0.161290322580645,0,0.555932698548701,0,0,-0.150895140664962,0,0.529574520375478
"2",0,0,-0.529411764705883,-1,-0.264764031159559,0,0,-0.166666666666667,-1,0.380148144032955,0,3,-0.3,-1.5,0.863180666761074,0,1,-0.214285714285714,-0.5,0.73052535604609,0,1,-0.166666666666667,0,0.791631747424078,0,1,-0.264367816091954,0,0.666817643677579,0,1,-0.333333333333333,0,0.647154085844247,0,1,-0.288,0,0.718038760226926,0,1,-0.256944444444444,-1,0.70502624620241,0,0,-0.244047619047619,0,0.695976569649258,0,0,-0.201086956521739,0,0.751154209233422,0,0,-0.16,0,0.754478740307885,0,0,-0.100877192982456,0,0.755186743279201,0,0,-0.0609756097560975,0,0.728884095429461,0,0,-0.0223048327137547,1,0.704793777611063,0,0,-0.0241379310344828,0,0.674092362884439,0,0,-0.016025641025641,0,0.663110731557682,0,0,-0.0392749244712991,0,0.696079125000459,0,0,-0.0677966101694915,1,0.679736767793911,0,0,-0.0672043010752688,0,0.686954010983716,0,0,-0.040920716112532,0,0.672256553448078
"3",0,2,-0.882352941176471,-1,0.369897452146551,0,1,-0.333333333333333,-0.5,0.241552791141414,0,3,-0.4,-1,0.740102173900189,0,1,-0.333333333333333,-2,0.758623501917883,0,1,-0.333333333333333,-1,0.815891283566623,0,1,-0.35632183908046,-1,0.614770244333941,0,1,-0.342857142857143,0,0.656474488944267,0,1,-0.264,0,0.751850747992005,0,1,-0.256944444444444,-1,0.739511527541504,0,0,-0.232142857142857,0,0.705196817393535,0,0,-0.21195652173913,0,0.716655062557642,0,0,-0.16,0,0.70132072029294,0,0,-0.105263157894737,0,0.684929981678278,0,0,-0.0731707317073171,-1,0.695426001555862,0,0,-0.0408921933085502,0,0.679691175054244,0,0,-0.0379310344827586,0,0.644374449774405,0,0,-0.0224358974358975,0,0.647760663910772,0,0,-0.0422960725075529,0,0.645076358569376,0,0,-0.0677966101694915,0,0.629918200109665,0,0,-0.0752688172043011,0,0.630261781534532,0,0,-0.061381074168798,0,0.616801354546658
"4",0,1,-0.647058823529412,-1,0.0478339339750629,0,2,0.666666666666667,0.5,0.801869126338442,0,3,-0.1,-1.5,0.994667513401875,0,1,-0.285714285714286,-1,0.768235337234515,0,1,-0.318181818181818,-1,0.807367647203359,0,1,-0.310344827586207,-1,0.728140493090411,0,1,-0.342857142857143,-1,0.682777719731676,0,1,-0.28,0,0.712910162747602,0,1,-0.131944444444444,-1,0.734237276007644,0,0,-0.101190476190476,0,0.729829215866285,0,0,-0.0489130434782609,1,0.754446058556256,0,0,-0.02,0,0.763595889291967,0,0,0.0526315789473685,0,0.731394958791661,0,0,0.134146341463415,0,0.72415118196105,0,0,0.148698884758364,0,0.686677846474514,0,0,0.158620689655172,1,0.653504437079153,0,0,0.16025641025641,1,0.656301501745683,0,0,0.108761329305136,1,0.677982185508553,0,0,0.0847457627118644,0,0.671442025292841,0,0,0.0779569892473118,0,0.680140660712932,0,0,0.104859335038363,0,0.664881798142942
"5",0,0,-0.588235294117647,-1,-0.250056558035556,0,0,-0.666666666666667,-1,0.0556996769415767,0,2,-0.55,-2,0.716491680737316,0,1,-0.333333333333333,-1.5,0.61274894934782,0,0,-0.333333333333333,-1,0.636546186759859,0,0,-0.333333333333333,0,0.611637674376495,0,0,-0.466666666666667,-1,0.394776512047462,0,0,-0.32,0,0.537774497577767,0,0,-0.256944444444444,0,0.570558958705235,0,0,-0.261904761904762,0,0.614604323184021,0,0,-0.217391304347826,0,0.666934479435512,0,0,-0.22,-1,0.652893332782852,0,0,-0.114035087719298,0,0.613292686741332,0,0,-0.056910569105691,0.5,0.586166471557083,0,0,-0.0185873605947955,0,0.587927270984291,0,0,-0.0103448275862069,0,0.557423246596657,0,0,0.00961538461538458,0,0.500748464854572,0,0,-0.0362537764350453,1,0.520149629592676,0,0,-0.0621468926553672,0,0.531524378235377,0,0,-0.0645161290322581,0,0.5413372140347,0,0,-0.0562659846547315,0,0.515506597879765
"6",0,1,-0.529411764705882,-1,-0.00752093299922307,0,3,-0.166666666666667,-2,1.14371997747428,0,2,0,-1.5,1.21874291882804,0,0,-0.142857142857143,0.5,0.619725056308235,0,0,-0.212121212121212,0,0.796248650886894,0,0,-0.241379310344828,-1,0.705884461362805,0,0,-0.380952380952381,-1,0.664850761117687,0,0,-0.304,-1,0.703346192484018,0,0,-0.305555555555556,0,0.681423730090239,0,0,-0.30952380952381,0,0.703085437202397,0,0,-0.277173913043478,0,0.728833156106116,0,0,-0.23,-1,0.711005717622959,0,0,-0.210526315789474,-1,0.742224980975933,0,0,-0.130081300813008,0,0.701669746702153,0,0,-0.100371747211896,0,0.684884091936634,0,0,-0.0655172413793103,0,0.68222641425147,0,0,-0.0512820512820512,0,0.668611778858863,0,0,-0.102719033232628,0,0.685971842306874,0,0,-0.107344632768362,0,0.648742601704127,0,0,-0.126344086021505,0,0.650820424902376,0,0,-0.104859335038363,0,0.632399197918181
"7",0,2,-0.235294117647059,0,0.237951233129299,0,-1,0,0,0.126592583705188,0,2,-0.1,-1,0.810294644400651,0,0,-0.214285714285714,-0.5,0.621548572214125,0,0,-0.212121212121212,0,0.642387147302534,0,0,-0.28735632183908,0,0.531057964991952,0,0,-0.361904761904762,0,0.57891395694068,0,0,-0.296,0,0.679792990281811,0,0,-0.25,-0.5,0.680040719821765,0,0,-0.244047619047619,-1,0.660331310881967,0,0,-0.184782608695652,0,0.696759515602374,0,0,-0.155,0,0.701264388825927,0,0,-0.0614035087719298,0,0.669444518547514,0,0,-0.0203252032520325,0,0.63123654873302,0,0,0.0297397769516728,0,0.639384415637321,0,0,0.0241379310344827,0,0.612014586711414,0,0,0.0192307692307693,0,0.628548093388659,0,0,-0.0181268882175226,0,0.642593723182295,0,0,-0.0536723163841808,0,0.621038980571325,0,0,-0.0618279569892473,0,0.623268731151647,0,0,-0.0332480818414322,0,0.611487953704377
"8",0,2,-0.352941176470588,-1,0.213111119681472,0,1,-0.5,-1,0.811360740962517,0,0,-0.05,-1,0.801070514329868,0,0,0.0714285714285714,0,0.834158207188847,0,0,0.0151515151515151,0,0.748195622703293,0,0,-0.0459770114942528,0,0.670869748598764,0,0,-0.0952380952380952,0,0.606479109844335,0,0,-0.056,0,0.634704576904409,0,0,0,1,0.664130260582142,0,0,0.0297619047619049,0,0.669202121960284,0,0,0.0543478260869565,0,0.654049900423404,0,0,0.085,0,0.652084058643704,0,0,0.118421052631579,0,0.649895473270534,0,0,0.146341463414634,0,0.62089388176653,0,0,0.163568773234201,0,0.627445552528441,0,0,0.162068965517241,0,0.592796112869828,0,0,0.163461538461539,0,0.601045822883784,0,0,0.141993957703928,0,0.613319538006905,0,0,0.138418079096045,0,0.589263552945451,0,0,0.126344086021505,0,0.600634085777255,0,0,0.138107416879795,0,0.594880711487789
"9",0,3,-0.823529411764706,-1,0.612433077182884,0,1,0,-0.5,0.727702953234625,0,1,0,-0.5,0.738955964701053,0,0,-0.0714285714285714,0,0.684393701880391,0,0,-0.0909090909090909,1,0.830158267924082,0,0,-0.195402298850575,0,0.757939613283303,0,0,-0.2,0,0.635691582141679,0,0,-0.144,0,0.676903090845731,0,0,-0.0277777777777777,1,0.67129096457913,0,0,0.0476190476190477,0,0.699084196875721,0,0,0.0815217391304348,0,0.69339563044648,0,0,0.13,0,0.68496878335214,0,0,0.166666666666667,1,0.654458422167868,0,0,0.227642276422764,1,0.621057775478273,0,0,0.245353159851301,1,0.611450588059787,0,0,0.237931034482759,1,0.586985419485701,0,0,0.243589743589744,1,0.596987906717106,0,0,0.178247734138973,1,0.66295487500605,0,0,0.175141242937853,1,0.632398751821841,0,0,0.182795698924731,1,0.638745232102404,0,0,0.202046035805627,1,0.617580626210788
"10",0,1,-0.470588235294118,0,0.0471560034023255,0,2,-0.5,-2,0.950160138890019,0,1,0.25,-0.5,0.968068009288811,0,0,0.119047619047619,1,0.679082490639646,0,0,-0.121212121212121,1,0.800460733685672,0,0,-0.103448275862069,1,0.675919395956516,0,0,-0.266666666666667,-1,0.664484033736579,0,0,-0.304,-1,0.508514025619176,0,0,-0.361111111111111,-1,0.522482324889324,0,0,-0.392857142857143,-1,0.522502535370961,0,0,-0.375,-1,0.471339195848794,0,0,-0.38,-1,0.467616433478042,0,0,-0.364035087719298,0,0.431933327487863,0,0,-0.33739837398374,0,0.420724326646098,0,0,-0.338289962825279,0,0.400128117444911,0,0,-0.33448275862069,0,0.409666772036638,0,0,-0.323717948717949,0,0.416860406313194,0,0,-0.338368580060423,0,0.431592855683538,0,0,-0.350282485875706,0,0.450126914813217,0,0,-0.373655913978495,0,0.44171035363601,0,0,-0.352941176470588,0,0.430344390319033
"11",0,2,-0.647058823529412,-1,0.444815844046054,0,-2,-0.666666666666667,-0.5,-0.816496580927726,0,3,0,-1,0.825666721365664,0,1,-0.333333333333333,-1,0.369606362929988,0,1,-0.560606060606061,-1,0.376998108065806,0,1,-0.517241379310345,-1,0.455945891272272,0,-1,-0.638095238095238,-1,0.17290887869482,0,0,-0.504,-2,0.381674321330985,0,0,-0.506944444444445,-1,0.420855170148312,0,0,-0.535714285714286,-1,0.415346195765538,0,0,-0.467391304347826,-1,0.468469431107,0,0,-0.425,-1,0.496173773744077,0,0,-0.337719298245614,0,0.501172291019652,0,0,-0.300813008130081,0,0.527546906796532,0,0,-0.252788104089219,0,0.531981477601148,0,0,-0.241379310344828,0,0.544253540130541,0,0,-0.211538461538462,0,0.539976329072748,0,0,-0.238670694864048,0,0.560419285179218,0,0,-0.251412429378531,0,0.566141498729837,0,0,-0.233870967741935,0,0.573584301287688,0,0,-0.222506393861893,0,0.544331740806792
"12",0,0,-0.588235294117647,-1,-0.250056558035556,0,-1,-0.5,-0.5,-0.547722557505166,0,1,-0.35,-0.5,-0.0236286911129841,0,3,-0.452380952380953,-1,0.422329092820473,0,3,-0.575757575757576,-1,0.372563430693311,0,3,-0.551724137931034,-1,0.279800911248531,0,2,-0.561904761904762,-1,0.202306489443472,0,2,-0.504,-1,0.2164081218431,0,1,-0.506944444444444,-1,0.30302923459136,0,1,-0.505952380952381,-1,0.353980412286198,0,1,-0.402173913043478,-1,0.457975632051135,0,1,-0.365,-1,0.493574232550847,0,1,-0.293859649122807,-1,0.55057079437053,0,0,-0.24390243902439,-1,0.542964904221736,0,0,-0.211895910780669,-1,0.545367991968045,0,0,-0.213793103448276,-1,0.517382494326346,0,0,-0.173076923076923,-1,0.527007364845994,0,0,-0.211480362537764,-1,0.53666946756587,0,0,-0.225988700564972,-1,0.544343882087283,0,0,-0.223118279569892,-1,0.544689780654583,0,0,-0.214833759590793,-1,0.541743587442887
