"","V1","V2","V3"
"283",0,0,-3
"284",0,1,0
"285",-2,-1,-1
"286",-2,0,0
"287",0,2,0
"288",-2,-1,-1
"289",-1,0,0
"290",-2,1,-3
"291",-3,-3,-3
"292",2,3,3
"293",0,2,1
"294",-3,0,-3
"295",-3,-2,1
"296",-3,-2,-3
"297",0,0,0
"298",0,3,1
"299",-3,1,-2
"300",-1,0,0
"301",1,0,1
"302",0,3,3
"303",0,0,1
"304",2,2,2
"305",-3,0,3
"306",-3,0,0
"307",-3,-1,2
"308",0,2,2
"309",0,2,2
"310",-3,2,-2
"311",-2,0,0
"312",-1,1,1
"313",0,2,2
"314",3,0,2
"315",-2,-1,-2
"316",-1,-1,1
"317",-3,-3,-3
"318",0,1,-1
"319",-2,3,1
"320",-1,0,0
"321",-1,0,0
"322",-3,-2,-1
"323",1,-3,-2
"324",3,3,3
"325",2,2,-1
"326",-3,0,-1
"327",-3,-2,-3
"328",-3,1,-2
"329",-3,-2,-2
"330",-3,1,2
"331",-1,-1,0
"332",-3,-3,-3
"333",-3,-2,-3
"334",-3,-3,-3
"335",-3,-3,-3
"336",-3,-3,-3
"337",-3,-2,-3
"338",-3,-3,-3
"339",-3,-3,-3
"340",-3,-3,-3
"341",-3,-3,-3
"342",-3,-3,-3
"343",-3,-3,-3
"344",-3,-3,-3
"345",-3,-3,-3
"346",-3,-3,-3
"347",-3,-3,-3
"348",-3,-3,-3
"349",-3,-3,-3
"350",-3,-3,-3
"351",1,1,2
"352",-3,-3,-3
"353",-3,-3,-3
"354",0,-1,0
"355",-3,-3,-3
"356",0,-1,-3
"357",0,1,0
"358",-3,-3,-3
"359",1,-3,-3
"360",-3,-3,-3
"361",-3,-1,-3
"362",-2,-3,-3
"363",-3,-3,-3
"364",-3,-3,-3
"365",-3,-3,-3
"366",-1,-2,-3
"367",-3,-3,-3
"368",0,-1,0
"369",-2,-3,-3
"370",2,1,0
"371",-3,-3,-3
"372",-3,-3,-3
"373",-3,-3,-3
"374",-3,-2,-3
"375",-3,-2,-3
"376",0,-2,-3
"377",-3,-3,-3
"378",-3,-2,-3
"379",-3,-1,-3
"380",-3,-2,-2
"381",-3,-3,-3
"382",-3,-3,-3
"383",-2,0,0
"384",-3,-3,-3
"385",-3,-1,-3
"386",0,0,-2
"387",-3,-2,-3
"388",-3,-2,-2
"389",-3,-1,-2
"390",-1,-1,-1
"391",-3,-3,-3
"392",1,1,1
"393",3,1,0
"394",1,1,1
"395",2,2,2
"396",2,1,-1
"397",1,1,-2
"398",-1,1,-1
"399",-1,0,-1
"400",-2,0,-1
"401",0,1,-1
"402",-1,0,-2
"403",2,0,-1
"404",1,-1,0
"405",-1,-2,0
"406",2,1,-1
"407",0,0,-1
"408",1,0,0
"409",1,2,-1
"410",2,2,-2
"411",1,0,0
"412",3,3,3
"413",2,2,2
"414",3,3,3
"415",3,3,3
"416",2,2,2
"417",3,3,3
"418",2,1,0
"419",3,1,2
"420",3,3,3
"421",3,2,2
"422",3,3,3
"423",3,2,3
"424",3,0,3
"425",3,2,3
"426",2,2,1
"427",3,3,3
"428",3,3,3
"429",3,3,3
"430",1,1,1
"431",2,1,2
"432",2,0,2
