"","V1","V2","V3","V4","V5"
"170",3,3,2,1,2
"171",3,1,0,2,0
"172",3,3,3,-3,-1
"173",3,3,3,3,3
"174",3,3,3,0,3
"175",3,3,3,0,3
"176",2,2,1,-1,-2
"177",3,3,2,0,2
"178",2,1,0,-2,-1
"179",2,3,1,-1,1
"180",3,3,0,-1,2
"181",-1,2,2,-1,-3
"182",2,0,0,-1,-1
"183",3,3,-1,-3,-2
"184",3,3,3,-2,-1
"185",3,3,1,2,3
"186",3,3,-3,-3,-2
"187",3,3,2,-3,3
"188",3,3,2,3,2
"189",3,3,2,2,3
"190",3,3,3,3,0
"191",3,3,1,0,-1
"192",3,3,2,1,2
"193",0,2,0,1,-1
"194",3,3,3,-1,3
"195",3,3,1,1,2
"196",3,3,3,3,2
"197",3,3,1,-3,0
"198",2,2,1,0,1
"199",2,-1,-1,-2,-2
"200",3,3,1,1,-2
"201",3,3,3,2,3
"202",3,3,-3,-1,3
"203",3,3,2,-1,1
"204",3,3,3,3,3
"205",2,2,0,2,0
"206",3,3,3,2,3
"207",3,3,2,2,1
"208",3,3,2,3,0
"209",3,3,2,2,-2
"210",2,1,1,1,2
"211",3,3,2,2,2
"212",3,1,0,0,0
"213",2,2,-1,0,-1
"214",3,3,3,3,-3
"215",3,3,1,1,-1
"216",3,3,3,3,3
"217",3,3,3,3,3
"218",3,2,2,1,1
"219",3,1,3,-1,-1
"220",3,2,1,3,1
"221",3,3,3,3,3
"222",3,3,0,-3,-2
"223",3,3,2,2,3
"224",3,2,2,3,2
"225",3,3,3,-2,3
"226",3,3,3,2,1
"227",3,3,3,3,1
"228",3,3,3,2,3
"229",2,3,2,2,3
"230",3,3,3,2,3
"231",3,2,2,-2,-1
"232",1,2,0,-2,1
"233",3,3,1,2,-1
"234",3,3,3,3,3
"235",3,-1,1,2,2
"236",3,3,3,3,3
"237",3,3,3,2,2
"238",1,2,1,1,2
"239",3,3,3,3,3
"240",3,3,3,2,-1
"241",3,3,3,3,3
"242",3,3,3,3,2
"243",3,3,3,2,3
"244",3,3,3,-2,3
"245",3,3,3,1,0
"246",3,3,3,2,3
"247",3,3,3,3,2
"248",3,3,3,3,3
"249",3,2,3,3,3
"250",3,3,3,3,0
"251",3,3,1,1,-1
"252",2,2,1,1,0
"253",3,3,2,3,-2
"254",3,3,2,3,3
"255",3,3,3,2,2
"256",3,3,0,3,3
"257",3,3,3,3,3
"258",2,2,2,2,2
"259",3,3,3,3,2
"260",3,1,-1,1,1
"261",0,0,0,-1,1
"262",3,3,3,0,1
"263",3,3,2,2,1
"264",3,3,2,2,0
"265",3,3,3,2,3
"266",3,3,2,2,1
"267",3,3,1,3,1
"268",3,1,-2,1,0
"269",3,3,1,2,1
"270",3,3,3,3,3
"271",3,3,1,0,3
"272",3,3,3,2,3
"273",3,3,3,1,2
"274",3,3,2,0,2
"275",3,3,2,2,1
"276",3,3,2,2,3
"277",3,3,1,2,-1
"278",3,2,1,0,-1
"279",-2,0,-1,-1,-1
"280",3,3,3,2,3
"281",3,3,2,2,1
"282",3,1,1,-2,1
"283",3,3,3,3,3
"284",3,3,3,2,3
"285",3,3,2,1,2
"286",3,3,2,1,3
"287",3,3,3,2,2
"288",3,3,3,-1,3
"289",3,3,3,1,1
"290",3,3,3,3,1
"291",3,3,2,-3,3
"292",3,3,3,3,3
"293",3,3,3,3,1
"294",3,3,1,3,-1
"295",3,3,1,1,3
"296",3,2,0,2,-1
"297",3,3,2,2,2
"298",3,3,3,3,3
"299",3,3,3,3,2
"300",2,2,0,0,1
"301",1,1,2,0,1
"302",3,3,3,3,3
"303",3,3,3,3,2
"304",2,3,2,2,2
"305",3,3,3,3,3
"306",3,3,0,3,0
"307",3,3,2,1,1
"308",3,3,1,2,1
"309",0,2,2,2,-1
"310",3,3,1,2,0
"311",3,3,0,1,1
"312",3,3,2,3,2
"313",3,3,3,3,3
"314",2,3,2,3,2
"315",3,2,3,2,3
"316",3,3,3,3,3
"317",3,3,-2,1,-3
"318",3,3,2,3,2
"319",3,3,3,3,3
"320",3,3,3,2,1
"321",3,3,3,2,-1
"322",3,3,3,3,3
"323",3,3,2,-1,0
"324",3,3,3,3,3
"325",3,3,2,3,3
"326",3,3,2,2,1
"327",3,3,3,1,-2
"328",3,3,3,1,0
"329",3,3,2,3,-1
"330",3,3,1,1,1
"331",3,3,3,3,1
"332",0,1,-3,-3,-3
"333",-3,-3,-2,-3,-3
"334",3,3,-1,-3,-3
"335",-3,-1,-3,-3,-2
"336",1,0,-3,-3,-3
"337",3,3,0,-3,-3
"338",-3,-1,-3,-3,-3
"339",-2,-2,-3,-3,-3
"340",1,-3,-3,-3,-3
"341",2,3,-2,-3,-3
"342",2,2,-1,-3,-2
"343",-3,-1,-3,-3,-2
"344",3,3,2,-1,2
"345",-3,0,-3,-3,-3
"346",-2,-2,-2,-3,-3
"347",3,-3,-3,-3,-3
"348",-2,-2,-3,-3,-3
"349",-1,-3,-3,-3,-3
"350",3,3,-3,-3,0
"351",2,1,2,1,1
"352",-3,-3,-3,-3,-3
"353",-3,-3,-3,-3,-3
"354",2,2,1,1,1
"355",-1,1,-3,-3,-3
"356",-1,0,-3,-3,-2
"357",1,2,0,1,1
"358",-3,-3,-3,-3,-3
"359",0,2,-3,-3,-3
"360",-3,1,-3,-3,-3
"361",-3,0,-3,-3,-3
"362",-1,-3,-3,-3,-3
"363",-2,2,-3,-3,-3
"364",-2,3,0,-3,-3
"365",-3,-3,-3,-3,-3
"366",-2,-1,-2,-2,-2
"367",-3,-3,-3,-3,-3
"368",0,-1,-1,-2,1
"369",-2,-2,-3,-3,-2
"370",0,1,-2,1,2
"371",-3,-3,-3,-3,-3
"372",0,-3,-2,-3,-3
"373",3,3,2,-1,3
"374",3,3,-1,3,-3
"375",3,3,2,1,2
"376",1,2,3,2,1
"377",3,3,3,3,-3
"378",3,3,1,-3,1
"379",3,3,3,1,3
"380",3,3,3,1,-2
"381",3,3,3,0,2
"382",3,3,3,-2,2
"383",3,3,0,2,2
"384",3,3,2,-3,-3
"385",3,3,3,3,3
"386",0,0,0,0,0
"387",3,3,0,3,3
"388",1,2,1,-2,-2
"389",3,3,2,1,1
"390",3,3,2,2,2
"391",3,3,2,2,1
"392",3,3,3,2,2
"393",3,3,3,3,3
"394",3,3,3,3,3
"395",3,3,3,3,3
"396",3,3,3,1,1
"397",3,-2,2,-1,1
"398",3,3,3,2,1
"399",3,3,3,2,0
"400",0,2,1,1,2
"401",2,3,2,1,1
"402",3,3,2,1,1
"403",3,3,3,3,3
"404",2,2,2,2,2
"405",3,2,2,2,0
"406",3,3,3,2,3
"407",3,3,2,2,1
"408",2,2,1,1,1
"409",2,0,1,2,1
"410",3,3,3,3,3
"411",3,3,3,2,2
"412",3,3,3,3,3
"413",3,2,2,2,1
"414",3,3,3,3,3
"415",3,3,3,3,3
"416",2,3,2,3,3
"417",3,3,3,3,2
"418",2,2,1,2,3
"419",3,3,3,3,3
"420",3,3,3,3,3
"421",2,2,2,2,2
"422",3,3,3,3,3
"423",3,3,3,3,3
"424",3,3,3,3,3
"425",3,3,3,3,3
"426",2,2,3,1,3
"427",3,3,3,3,3
"428",3,3,3,3,3
"429",3,3,3,3,3
"430",1,1,1,1,1
"431",3,3,3,3,3
"432",3,3,3,1,2
