,condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride
91,computer,-3,-3,-3,-3,-3,3,1,3,-3,3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3
92,dog,3,0,3,2,3,3,3,3,3,2,-2,-1,-2,1,-3,3,3,3,3,3,3,3,1,1,-1,2,2,-1,2,1,3,-3,3,0,-1,3,0,3,3,1
93,elephant,1,2,3,1,1,3,3,2,3,2,0,-1,-3,1,-3,3,3,3,0,1,0,3,3,-3,-2,-2,0,1,2,3,1,1,3,-3,-2,0,-3,2,1,-3
94,fish,-1,-1,3,2,2,2,3,2,1,2,-1,0,-2,0,-3,2,0,2,-1,3,2,-1,1,-1,-2,2,2,-2,1,0,-2,-1,1,-2,-1,1,0,0,2,1
95,fish,-3,-3,3,1,3,3,3,3,3,3,-3,-3,-3,-1,-3,3,3,3,-2,3,-3,-1,-2,-3,-3,2,3,-3,1,-3,3,-3,-1,-3,-3,0,-3,-2,-1,-3
96,mouse,1,-1,3,2,2,3,3,3,3,1,-3,1,3,3,-3,3,3,3,2,3,2,1,3,-3,-3,1,3,-3,2,2,-3,1,3,-3,-3,2,-3,2,2,-3
97,car,-3,-3,-3,-3,-3,1,1,1,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-2,-2,-3,0,0,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
98,dog,2,1,3,2,2,2,3,2,2,3,2,2,1,2,2,2,2,3,2,3,2,2,3,2,2,1,2,2,1,-2,3,1,3,0,2,3,2,2,2,2
99,beetle,-1,-1,3,1,0,3,3,-1,3,3,-3,0,-2,0,-3,3,3,3,-3,-1,-1,0,3,-3,-3,3,2,1,3,3,3,1,3,-1,-3,-1,-3,3,3,0
100,frog,1,-3,2,3,3,3,3,3,2,3,-3,-2,-2,-1,-3,1,2,3,-3,3,-2,-2,3,-3,-3,3,3,-2,-2,-3,-1,-2,1,-3,-3,0,-2,1,1,0
101,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3
102,frog,-3,-3,2,-3,2,3,3,3,3,-3,-3,2,-3,-3,-3,3,2,2,-3,2,-3,-3,3,-3,-3,1,2,-3,-3,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3
103,robot,-3,-3,-3,-3,-3,3,3,3,1,3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,3,0,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
104,bear,-1,-2,1,1,0,1,-2,3,2,-1,-2,-2,-1,1,-3,2,-2,2,0,1,-1,0,-1,-2,-2,2,-2,-1,0,0,-2,-3,0,-2,-2,0,-2,-1,1,-2
105,person in a persistant vegetative state,-3,-1,-2,-3,-3,0,-3,-1,-1,-3,-3,0,-3,-3,0,-1,-3,0,-1,-3,0,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-3,-1,-3,0,-3,-3,-3
106,infant,3,-3,3,3,3,3,2,3,3,-3,-3,-2,-3,-2,-3,3,3,3,3,-1,0,0,-1,-3,-3,-3,-1,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-1,3,-3
107,person in a persistant vegetative state,1,1,1,1,-1,2,1,2,2,1,0,2,-1,1,0,1,2,2,1,0,0,1,1,-1,-1,-1,1,0,1,-1,0,1,1,0,1,1,1,1,0,0
108,blue jay,3,1,3,3,3,3,3,3,3,3,-1,0,-1,2,-2,3,3,3,3,3,1,0,3,-3,-2,-1,0,-1,0,2,0,-3,3,-3,-2,1,-3,0,3,0
109,robot,-3,-3,-3,-3,-3,3,3,3,3,3,3,3,2,3,3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,3,3,-3,3,3,-3,-3,-3,-3,-3,3,-2,-3,-3
110,car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
111,child,3,3,3,3,3,2,3,1,2,2,0,3,2,3,2,3,3,3,3,3,3,3,1,3,2,3,3,2,3,2,3,1,3,3,2,3,3,3,3,3
112,child,3,0,3,1,3,3,3,3,3,0,-1,3,1,2,2,3,3,3,3,3,1,3,2,1,0,1,3,-1,1,1,3,2,1,1,1,3,1,3,3,1
113,dog,3,2,3,2,3,3,3,3,3,1,-2,1,0,2,1,3,3,3,3,2,2,3,0,0,-2,1,1,0,3,0,2,1,3,-1,-1,3,0,2,3,-2
114,frog,2,1,2,1,2,3,3,3,3,-2,-3,2,0,1,-3,3,3,3,1,2,0,2,2,0,-2,2,2,1,1,1,3,1,2,-1,-1,2,0,2,2,0
115,child,2,0,2,-1,1,3,3,3,3,2,1,3,-1,2,1,3,-2,-2,2,2,2,3,2,-1,-2,0,3,-2,-1,-1,2,1,1,-1,1,3,-1,1,2,-1
116,microbe,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
117,computer,-3,-3,-3,-3,-3,3,0,1,-3,0,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,2,0,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
118,blue jay,-3,-3,3,2,3,3,3,3,2,3,-3,-2,0,0,-3,3,3,3,3,-1,-3,2,2,-3,-3,0,2,-3,1,-1,-2,-3,3,-3,-3,-3,-3,-1,2,-3
119,adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
120,beetle,-3,-3,-3,-3,-1,0,-1,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,1,-3,-3,-3,-3,-3,-3,-3,-2,-3
121,robot,-3,-3,-3,-3,-3,3,3,3,3,3,3,-3,2,3,-3,-3,-3,-3,-3,-3,-3,2,2,-3,-3,0,1,0,2,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3
122,chimpanzee,-2,-3,2,1,-1,3,3,1,0,-2,-3,-3,-3,0,-3,3,2,3,0,-1,-3,3,3,-3,-3,-3,-1,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,1,-2,-3
123,fish,0,2,2,2,1,0,2,-1,1,0,1,0,0,1,0,1,2,2,1,1,0,1,1,1,0,-1,1,0,0,-1,0,1,0,-1,1,0,0,1,1,0
124,elephant,0,0,0,2,1,2,3,2,-1,-1,-3,0,-2,0,-3,3,2,2,0,0,-2,0,0,-3,-3,-2,-2,-3,-1,-3,-3,-3,-1,-3,-2,0,-3,-1,0,-2
125,fetus,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
126,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
127,goat,2,1,3,2,3,3,3,3,3,-2,-3,1,-2,3,-3,3,3,3,3,2,0,3,3,-3,-3,0,1,-3,-3,-2,2,-3,-2,-3,-3,2,-1,3,2,-3
128,dolphin,2,2,2,0,0,3,3,3,2,3,-1,2,0,2,-1,3,3,3,2,2,1,3,2,0,-2,2,2,-2,2,2,2,2,2,-2,-1,2,-1,2,2,2
