"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"69",-3,-3,-3,-3,-3,3,0,-3,-3,-3,-3,-3,-3,2,-2
"70",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-1
"71",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,0
"72",-1,-2,0,-2,-1,2,-2,1,-1,-1,-2,-1,-2,2,1
"73",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"74",-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3
"75",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"76",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-2,-3
"77",-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,0,-3,-3
"78",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"79",-2,-1,1,1,0,3,1,0,2,1,-2,2,1,2,1
"80",-3,-3,-2,-3,-3,2,-3,-3,-1,-3,-3,-3,-3,-3,-3
"81",-3,-3,-3,-3,-2,3,-3,-3,-3,-3,-3,-3,-3,-2,-2
"82",-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3
"83",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-1
"84",-3,-3,-3,-3,-3,3,-3,-2,-3,-3,-3,-3,-3,-3,-3
"85",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"86",2,-1,-2,-2,-2,-2,-2,-2,0,-1,-3,-2,-3,0,-2
"87",-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3
"88",-1,-1,-3,-3,-3,-2,-1,-2,-2,-1,-3,-3,-3,-2,-2
"89",-2,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"90",3,-2,1,0,-3,-3,-3,-3,-3,0,-3,-3,-2,-3,-3
"91",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"92",-1,-3,-3,-3,-3,-2,-2,1,-3,-3,-3,-3,-3,-3,1
"93",-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"94",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"95",3,3,3,-3,-3,-3,-3,-3,-3,-2,3,-3,-3,-3,-3
"96",1,-1,-1,-3,-3,-2,-2,-1,-1,-3,-3,-1,-3,1,-2
"97",-3,-3,-3,-3,-3,0,-2,-3,1,-3,-3,-3,-3,0,-3
"98",-3,-2,-3,-3,-2,-1,-1,-2,-3,-2,-3,-3,-2,-3,-1
"99",-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3
"100",3,2,-2,1,-2,-2,-2,1,1,0,-1,-1,-1,-2,-1
"101",-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-2
"102",1,0,-2,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,0
"103",-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3
"104",3,0,0,1,-2,2,1,0,0,-1,-2,-1,-2,2,1
"105",-1,1,-1,0,2,1,0,1,1,1,0,-1,0,-2,2
"106",-1,1,-2,-2,-3,-3,0,0,0,-3,-3,-3,-3,1,-3
"107",0,0,0,0,-1,1,-1,0,-2,1,-2,2,0,0,0
"108",3,2,2,2,-3,-3,1,-2,2,-3,-3,-3,-3,2,1
"109",3,3,0,0,-1,-2,-2,3,-1,1,-2,-1,-3,2,-1
"110",1,-1,0,0,0,0,0,0,0,0,1,-1,0,-1,0
"111",3,3,3,3,3,-3,3,3,-1,3,-3,0,1,3,1
"112",0,-3,-3,-3,-2,-3,-3,1,-3,-3,-3,-1,-3,-1,-3
"113",1,-1,-1,-1,-1,-2,-1,-3,-3,-2,-3,-3,-3,0,-3
"114",3,2,2,2,2,-3,0,2,0,1,-1,1,-2,-2,-1
"115",1,0,1,0,-1,-3,-2,-2,-1,-2,-2,-2,-1,-2,-3
"116",3,3,1,3,2,-3,3,3,3,2,-1,-1,2,3,-1
"117",3,3,2,3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3
"118",2,2,2,1,1,-3,2,2,1,-3,-3,1,-3,-2,2
"119",3,2,-1,1,-1,-3,1,2,0,2,-3,0,-2,0,-1
"120",0,-1,-1,0,-2,-2,-1,-1,1,-2,0,-1,0,-1,-2
"121",3,3,-3,1,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,0
"122",-2,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"123",3,1,-3,3,-2,-3,-3,-3,1,1,-2,-1,-2,0,-2
"124",3,0,3,1,0,-3,0,3,1,2,-3,0,1,2,0
"125",3,2,2,1,-1,-3,1,3,2,2,0,0,-1,0,0
"126",2,-1,-1,0,-3,-3,2,-3,-3,-1,-3,0,-3,-2,-3
"127",2,2,0,3,2,-1,2,-2,3,1,-1,2,2,1,-1
"128",3,3,3,3,-1,-3,2,3,3,-1,-2,3,1,1,-3
"129",1,2,2,2,1,1,-1,0,1,0,1,1,2,0,1
"130",3,-3,0,3,3,-3,3,3,3,3,-3,3,-3,3,3
"131",3,2,3,3,1,-2,1,1,1,2,2,1,0,2,-1
"132",3,-3,-3,2,-3,-3,2,3,3,-3,-3,-3,-3,-3,-3
"133",3,3,3,3,3,-3,2,1,2,1,2,2,2,2,2
"134",3,3,3,3,3,-3,3,3,3,3,3,3,-3,3,3
"135",3,1,1,2,0,-1,1,-1,1,0,-1,1,-1,0,0
"136",1,1,0,1,0,-2,-1,0,0,-2,-2,-1,-1,-1,-1
"137",3,3,1,-3,1,-3,1,-3,-1,-3,0,1,-3,-3,-3
"138",3,1,-2,-2,-3,-2,-1,0,3,-3,-2,0,-3,-2,-1
"139",3,3,3,3,3,0,-3,-3,3,-3,-3,3,-3,0,3
"140",-2,-2,-2,-2,-3,-3,-3,-1,-2,-3,-3,-2,-3,-3,-2
"141",3,3,-1,3,1,-3,-1,3,-2,-1,-1,1,1,-3,-3
"142",3,2,0,2,-1,-3,-2,2,1,-2,0,1,-2,-1,0
"143",3,1,0,2,1,-2,-2,-1,-3,-2,-3,-2,-2,0,-3
"144",3,3,3,3,2,-2,3,3,1,3,3,1,1,3,2
"145",3,3,2,3,2,0,3,1,2,-1,-2,1,1,0,2
"146",1,0,1,2,0,-2,2,-1,1,1,-1,-1,-1,1,-2
"147",3,3,3,3,3,-1,-1,0,3,3,3,3,3,0,-3
"148",3,3,3,3,2,-3,0,-2,-1,3,3,3,2,1,-3
"149",3,3,2,1,0,-3,-2,0,0,0,0,-1,1,0,0
