"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox","call","aic"
"1","RC1","=~","V24",0,0.900119332190233,0.0474557648208316,18.9675445246456,0,1.82942194255569,0.807111998118956,0.807111998118956,"RC1 ~ RC2 + RC3",53898.1766240187
"2","RC1","=~","V25",0,0.941183489259756,0.0475061455480791,19.8118259943278,0,1.91288162096605,0.834359642211142,0.834359642211142,"RC1 ~ RC2 + RC3",53898.1766240187
"3","RC1","=~","V26",0,1.01830087404874,0.047765798482183,21.3186193135361,0,2.06961665691088,0.880910052286099,0.880910052286099,"RC1 ~ RC2 + RC3",53898.1766240187
"4","RC1","=~","V27",0,0.981279598550875,0.0501072663684434,19.5835787834729,0,1.99437381819482,0.827076559952376,0.827076559952376,"RC1 ~ RC2 + RC3",53898.1766240187
"5","RC1","=~","V28",0,0.963239789165587,0.0475714154161008,20.2482894557637,0,1.95770932055687,0.848115937334041,0.848115937334041,"RC1 ~ RC2 + RC3",53898.1766240187
"6","RC1","=~","V29",0,1.03800402258707,0.0496966731897484,20.8867909250953,0,2.10966176091475,0.867838828146588,0.867838828146588,"RC1 ~ RC2 + RC3",53898.1766240187
"7","RC1","=~","V30",0,1.03562745210721,0.0485247490167244,21.3422526255679,0,2.10483156781879,0.881619235151838,0.881619235151838,"RC1 ~ RC2 + RC3",53898.1766240187
"8","RC1","=~","V31",0,1.01498241589942,0.0502832249477399,20.1853086581917,0,2.06287215100292,0.846144732344045,0.846144732344045,"RC1 ~ RC2 + RC3",53898.1766240187
"9","RC1","=~","V32",0,1.08790670698458,0.0489853898981106,22.2087995879471,0,2.21108505287662,0.907184317690349,0.907184317690349,"RC1 ~ RC2 + RC3",53898.1766240187
"10","RC1","=~","V33",0,1.02675097503957,0.0480349675333581,21.3750737798778,0,2.086790824398,0.882603064048926,0.882603064048926,"RC1 ~ RC2 + RC3",53898.1766240187
"11","RC1","=~","V34",0,1.08566853332156,0.0486376872393155,22.3215492952959,0,2.20653614045584,0.910448670757452,0.910448670757452,"RC1 ~ RC2 + RC3",53898.1766240187
"12","RC1","=~","V35",0,1.03103833287509,0.0474312668021769,21.7375246833545,0,2.09550454292331,0.893385993102554,0.893385993102554,"RC1 ~ RC2 + RC3",53898.1766240187
"13","RC1","=~","V36",0,1.13483677444597,0.0488588322999435,23.2268501113418,0,2.30646673407057,0.936157267097707,0.936157267097707,"RC1 ~ RC2 + RC3",53898.1766240187
"14","RC1","=~","V37",0,1.09474253328839,0.050138058769762,21.8345616114804,0,2.22497833367668,0.89624753761877,0.89624753761877,"RC1 ~ RC2 + RC3",53898.1766240187
"15","RC1","=~","V38",0,1.04975257062673,0.0516194772908314,20.3363657619445,0,2.13353976331765,0.85086480947907,0.85086480947907,"RC1 ~ RC2 + RC3",53898.1766240187
"16","RC1","=~","V39",0,1.12106881434782,0.0498486464152756,22.4894534749952,0,2.27848443504973,0.915283806752682,0.915283806752682,"RC1 ~ RC2 + RC3",53898.1766240187
"17","RC1","=~","V40",0,1.08121759794345,0.0508474013133433,21.2639696428245,0,2.19748996340528,0.879267686798792,0.879267686798792,"RC1 ~ RC2 + RC3",53898.1766240187
"18","RC2","=~","V11",0,1.62923274831846,0.0872113377675913,18.6814328276925,0,1.62923274831846,0.764513200855326,0.764513200855326,"RC1 ~ RC2 + RC3",53898.1766240187
"19","RC2","=~","V12",0,1.84039970291984,0.0913236357026918,20.1525014719229,0,1.84039970291984,0.805132615816777,0.805132615816777,"RC1 ~ RC2 + RC3",53898.1766240187
"20","RC2","=~","V13",0,1.58389685750636,0.0842000211706658,18.8111218439714,0,1.58389685750636,0.768212369043095,0.768212369043095,"RC1 ~ RC2 + RC3",53898.1766240187
"21","RC2","=~","V14",0,1.625851380605,0.0779585485914577,20.8553315830094,0,1.625851380605,0.823523825958495,0.823523825958495,"RC1 ~ RC2 + RC3",53898.1766240187
"22","RC2","=~","V15",0,1.64201718641691,0.0756466427928896,21.7064118881328,0,1.64201718641691,0.844946270523057,0.844946270523057,"RC1 ~ RC2 + RC3",53898.1766240187
"23","RC2","=~","V16",0,1.84104619498353,0.0813473120894461,22.6319241250307,0,1.84104619498353,0.867222079090744,0.867222079090744,"RC1 ~ RC2 + RC3",53898.1766240187
"24","RC2","=~","V17",0,1.731087633592,0.0760776122166923,22.7542319370031,0,1.731087633592,0.870088502419332,0.870088502419332,"RC1 ~ RC2 + RC3",53898.1766240187
"25","RC2","=~","V18",0,1.63859458326683,0.0745463238573928,21.9808905185113,0,1.63859458326683,0.851661709624237,0.851661709624237,"RC1 ~ RC2 + RC3",53898.1766240187
"26","RC2","=~","V19",0,1.70244519792698,0.0749791065310694,22.7055946208366,0,1.70244519792698,0.868950761248758,0.868950761248758,"RC1 ~ RC2 + RC3",53898.1766240187
"27","RC2","=~","V20",0,1.73906659011248,0.073947212902696,23.5176759454187,0,1.73906659011248,0.887583988035646,0.887583988035646,"RC1 ~ RC2 + RC3",53898.1766240187
"28","RC2","=~","V21",0,1.55660182714873,0.0729188985306399,21.3470288020692,0,1.55660182714873,0.836011869574692,0.836011869574692,"RC1 ~ RC2 + RC3",53898.1766240187
"29","RC3","=~","V1",0,1.53503521462647,0.094925430299281,16.1709587176672,0,1.53503521462647,0.690712562317464,0.690712562317464,"RC1 ~ RC2 + RC3",53898.1766240187
"30","RC3","=~","V2",0,1.89035690810976,0.0886468078943485,21.3245908455354,0,1.89035690810976,0.837544664665077,0.837544664665077,"RC1 ~ RC2 + RC3",53898.1766240187
