condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride
fetus,-3,-3,-3,-3,-2,-3,-3,-2,-3,0,-3,-2,-3,-2,-3,-3,-3,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-3
elephant,0,-3,3,-3,2,3,3,3,3,3,-3,-3,-3,2,-3,3,3,3,3,2,0,1,1,-3,-3,2,2,-3,2,-3,3,-3,3,-3,-3,0,-2,-3,2,0
computer,-3,-3,-3,-3,-3,3,2,3,-1,-1,3,-2,-3,3,-3,-3,-2,-3,-3,-3,-3,-1,0,-3,-3,-3,-3,-3,-2,1,-2,-2,-3,-3,-3,-3,-2,0,-3,-3
infant,3,-3,2,3,3,3,3,1,0,-1,-3,0,-3,-3,-3,3,3,3,3,2,0,3,0,-3,-3,2,-3,-3,-3,-3,-2,-2,-3,-3,-2,2,-3,2,-1,-3
child,3,2,3,2,1,3,3,3,3,3,0,3,1,2,1,3,3,3,3,3,3,2,2,2,3,3,1,1,2,1,2,1,2,3,1,3,2,3,3,2
dolphin,1,-1,1,0,-1,3,3,1,3,2,-2,1,1,1,-2,3,1,3,1,1,0,2,2,-1,-1,1,1,0,3,2,2,2,3,-2,-1,1,-1,0,1,-1
bear,2,1,2,3,3,2,3,2,2,2,-2,2,-3,2,-3,3,3,2,2,2,-1,0,1,-3,-3,1,2,-1,2,2,2,-2,3,-3,0,2,-2,1,3,-2
fish,0,-3,1,1,0,3,3,3,3,2,-3,0,1,1,-3,3,3,0,-3,1,0,1,3,-3,-3,0,2,-3,2,1,3,0,2,-3,-1,-3,-3,1,0,-3
dog,3,2,3,2,3,3,3,2,3,2,-2,0,2,1,-1,3,2,3,2,2,3,2,1,3,2,2,2,3,2,2,3,0,1,-1,1,2,-2,2,3,0
child,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,0,3,1,3,3,3,2,1,3,1,3,3,3
frog,1,-3,3,-3,1,2,3,3,1,2,-3,1,-3,-3,-3,3,2,3,3,2,-3,0,1,-3,-3,1,-3,-3,-3,2,-3,-3,2,-3,-3,-3,-3,-3,2,-3
chimpanzee,3,3,3,3,3,3,3,3,3,-1,-1,3,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,3,2,3,3,0
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
mouse,-3,-3,1,-3,-1,2,-3,1,3,-2,-3,-3,-3,-3,-3,3,1,3,-3,-3,-3,-1,-3,-3,-3,-3,0,-3,-2,-3,-1,-3,-2,-3,-3,-3,-3,-3,-3,-3
person in a persistant vegetative state,1,0,1,1,0,2,0,1,2,1,-1,1,-1,0,0,2,2,2,2,0,1,1,-1,0,0,-2,-1,0,-1,-1,-1,-1,1,0,-1,0,1,1,1,-2
elephant,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
beetle,0,0,0,0,2,-1,0,0,1,0,1,-1,2,-2,1,0,0,0,-2,-2,1,-1,-1,0,-2,-1,-1,-1,0,2,0,0,1,-1,0,-1,-1,1,-1,0
goat,2,0,1,2,0,3,-2,2,-1,1,-2,-1,2,2,-2,2,3,2,2,3,0,3,2,-3,-1,1,1,-2,3,-1,0,0,0,-2,1,0,-2,2,0,1
fish,-1,-1,1,-1,0,3,3,3,0,1,-3,1,1,0,-2,3,2,2,0,2,-1,1,1,-2,2,1,1,0,0,1,3,0,2,-1,0,-2,0,1,-1,-1
goat,3,3,3,2,3,3,3,3,3,3,-3,2,2,2,-3,3,3,3,3,3,3,3,3,-1,-3,3,3,-1,2,0,3,0,3,0,-1,3,-3,3,3,-2
mouse,-3,3,3,-3,0,3,3,3,2,0,-3,3,3,3,-3,3,3,3,2,3,-3,-3,2,-3,-3,-2,2,2,2,3,3,-3,3,-3,-2,3,0,-2,2,-2
chimpanzee,1,1,1,3,1,2,3,2,3,0,2,3,2,3,3,2,3,3,1,1,1,2,2,-1,0,1,2,2,1,3,1,1,2,2,0,2,3,0,2,2
beetle,-3,-3,2,-3,-3,2,1,3,2,1,-3,-3,-3,-3,-3,3,2,2,-3,2,-3,-3,-3,-3,-3,1,1,-2,2,2,-2,1,-3,-3,-3,-3,-3,-3,-3,-3
robot,1,0,1,1,1,3,3,3,2,1,3,2,3,3,0,2,0,1,-3,-1,-1,2,2,-1,1,1,2,2,1,2,1,1,1,1,0,1,2,1,-1,-1
car,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
frog,-2,-3,3,-1,1,3,3,3,1,2,-3,-2,-2,0,-3,3,1,0,-2,2,-3,-2,0,-3,-3,2,3,-1,3,3,1,2,-2,-3,-3,-2,-3,-2,-2,-3
bear,0,0,3,3,0,3,3,3,3,-1,-3,2,0,1,-3,3,3,3,3,1,3,3,3,-3,-3,0,3,-2,-2,1,3,0,0,-3,-2,3,-2,0,3,-3
robot,-3,-3,-3,-3,-3,3,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,0,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
blue jay,-1,-3,3,1,1,3,3,2,3,3,0,-3,-3,-1,-3,3,2,3,-2,2,1,1,3,-3,1,3,1,0,0,1,1,2,-1,-3,0,-1,-2,1,2,1
blue jay,-1,-2,2,-1,-1,1,2,2,-1,-1,-2,0,0,0,-2,1,1,0,-1,1,-1,0,1,-2,-2,2,-1,-1,1,1,-1,-2,1,-2,-1,-1,-2,-1,0,-2
fetus,3,-3,3,-3,2,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,3,3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-1,-3
chimpanzee,0,-1,1,2,0,1,3,1,0,-1,-2,0,-1,1,-2,3,2,2,1,0,1,1,0,0,1,1,1,-2,1,-1,1,-1,3,-1,-1,1,0,0,3,1
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dolphin,3,3,3,2,3,3,3,3,1,3,0,3,2,3,-2,3,3,3,2,3,2,3,3,2,0,3,3,3,2,2,2,0,3,2,3,3,3,3,3,2
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
frog,-3,-3,3,-3,3,3,3,3,3,-3,-3,2,-3,-3,-3,3,3,3,-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,3,3,-3,3,-3,-3,-3,-3,-3,2,-3
bear,-1,1,3,1,1,3,3,3,3,1,-3,1,1,1,-1,3,1,3,1,1,-1,1,0,-1,-1,1,1,-1,1,-2,3,3,-1,-1,-1,1,-1,0,1,-1
goat,3,3,2,2,2,2,3,3,3,2,-2,1,-2,3,-1,3,3,3,2,2,1,1,2,-2,-3,0,2,-1,1,-1,3,1,1,1,-1,1,-1,2,2,0
car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
fish,-3,-3,0,-3,0,-1,0,-3,-3,-3,-3,-1,-3,0,-3,2,-1,-1,-3,-3,-3,-3,-3,-3,-3,2,1,-3,-2,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3
elephant,2,3,3,3,2,3,3,3,3,3,2,2,2,3,0,3,3,3,2,-2,2,3,2,-2,0,3,2,1,2,2,2,2,1,0,2,2,-2,3,3,2
fetus,-1,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,-3,-3,-3,-3
dog,2,3,2,3,3,3,3,3,3,3,-3,3,-3,3,-3,3,3,3,3,3,0,3,1,1,-1,-2,2,1,1,2,3,-1,1,1,1,1,-3,2,3,-1
frog,3,3,3,3,3,3,3,3,3,3,-3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
computer,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
mouse,2,0,3,3,0,3,2,2,2,-2,0,3,1,0,0,3,3,3,3,3,1,2,0,0,1,2,2,-1,2,0,3,2,2,1,1,2,0,2,2,0
fetus,-3,-3,-3,-3,-3,0,-2,0,-3,-3,-3,0,-3,-3,-3,1,-3,0,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,-3
beetle,-3,-3,0,-3,-1,3,2,3,3,2,-2,3,-1,0,-3,3,0,3,-2,-1,-2,-1,3,-3,-3,-2,-1,-2,2,3,3,-1,1,-3,-1,-3,-3,-2,-1,-3
goat,2,-3,3,3,-1,3,3,1,3,-2,-3,0,0,2,-3,3,3,3,-2,3,1,2,3,-3,2,3,3,-2,0,0,3,2,0,-3,-2,3,-1,-1,2,1
infant,2,-2,1,1,2,2,3,2,2,0,-1,3,-2,1,-3,3,2,3,2,2,1,3,2,-3,0,0,-1,-3,2,1,3,-2,2,-3,-2,2,-3,2,2,-3
beetle,0,0,0,0,-1,0,1,1,-1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,-1,0,-1
chimpanzee,3,3,3,3,3,3,3,1,3,0,-3,1,1,0,-1,3,3,3,1,3,1,1,2,1,0,1,3,1,1,3,1,1,3,1,-1,3,-1,1,3,3
