"","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1","min1","max1","mean1","median1","sd1"
"1",0,5,1.64705882352941,1,1.82757472123347,0,5,2.33333333333333,2,2.57744410471729,0,4,2.85,3.5,1.97798308670304,0,1,1.52380952380952,3,0.970770897505435,0,1,1.09090909090909,1.5,1.05916404899756,0,1,0.689655172413793,1,1.03149189739697,0,0,0.371428571428571,1,0.811656087473879,0,0,0.472,1,0.876040182546939,0,0,0.201388888888889,1,0.804399938269068,0,0,0.0654761904761905,1,0.797289171083548,0,0,0.0760869565217391,0,0.839927361481178,0,0,0.08,0,0.847850103398914,0,0,0.210526315789474,0.5,0.854486682010436,0,0,0.121951219512195,0,0.893027906491912,0,0,0.0892193308550186,0,0.887614124012849,0,0,-0.0482758620689655,0,0.852385118997117,0,0,-0.131410256410256,0,0.820615376500758,0,0,0.0181268882175227,0,0.814589000649021,0,0,0.127118644067797,0,0.779007553010966,0,0,0.166666666666667,0,0.783491603630294,0,0,0.127877237851662,0,0.785660238085592
"2",0,5,1.11764705882353,0,1.72218195065672,0,3,1.16666666666667,1,1.48927507720024,0,3,0.95,-0.5,1.62000012295667,0,1,0.166666666666667,0,1.03656030918908,0,1,-0.484848484848485,-1.5,0.953116298048141,0,1,-0.367816091954023,-1,0.778005138923068,0,1,-0.238095238095238,-1,0.851471086331615,0,1,-0.256,-1,0.940428846292528,0,1,-0.416666666666667,-2,0.931763413584877,0,0,-0.577380952380952,-2,0.878050049910986,0,0,-0.581521739130435,-1.5,0.935141269709092,0,0,-0.835,-2,0.879217020234689,0,0,-0.969298245614035,-1,0.801620784888149,0,0,-1.05284552845528,-1.5,0.857740192635003,0,0,-1.08921933085502,-1,0.855383686008204,0,0,-1.24827586206897,-2.5,0.833054895819447,0,0,-1.38782051282051,-3,0.832235789517744,0,0,-1.25981873111782,-3,0.80377157278181,0,0,-1.14124293785311,-2,0.766347125907997,0,0,-1.20430107526882,-3,0.783111475651743,0,0,-1.29156010230179,-3,0.775682865576952
"3",0,4,1.52941176470588,2,2.09097160229594,0,4,2,2.5,1.80368191522696,0,4,3.05,4,1.52351595152801,0,1,2.4047619047619,3,0.823590474928103,0,1,1.60606060606061,3,0.917067014707366,0,1,1.60919540229885,3,0.915878253449756,0,1,1.38095238095238,3,1.01153258691908,0,1,1.24,3,1.07518595430876,0,1,0.916666666666667,2,1.02581325341551,0,0,0.696428571428571,2,0.961499103475739,0,0,0.608695652173913,2,0.917589401126371,0,0,0.475,2,0.94949009299402,0,0,0.5,2,0.915692977824801,0,0,0.382113821138211,1,0.927308528460928,0,0,0.371747211895911,1,0.915967547474982,0,0,0.220689655172414,1,0.933242805589741,0,0,0.0897435897435898,0.5,0.971213412443053,0,0,0.253776435045317,1,0.890823893402019,0,0,0.370056497175141,2,0.848594725131529,0,0,0.416666666666667,2,0.869702363553073,0,0,0.378516624040921,2,0.867980065954131
"4",0,5,1.52941176470588,0,2.08180778776499,0,2,1.16666666666667,1.5,1.18323860261005,0,3,1.55,2.5,1.53281916184438,0,1,0.880952380952381,2,1.21710254453986,0,1,0.181818181818182,1,1.0476687669413,0,1,0.459770114942529,2,1.01826498039736,0,1,0.104761904761905,1,0.912963285406054,0,1,-0.208,1,0.885449709358412,0,1,-0.541666666666667,0,0.879782537956977,0,0,-0.803571428571428,-1,0.815989823677978,0,0,-0.847826086956522,-0.5,0.84285323712741,0,0,-1.01,-2,0.900755547358666,0,0,-1.06140350877193,-2,0.897472986222087,0,0,-1.13008130081301,-2,0.958390479463566,0,0,-1.19330855018587,-2,0.941460328904516,0,0,-1.37241379310345,-2,0.946142946161894,0,0,-1.50320512820513,-2,0.959870670701684,0,0,-1.29003021148036,-2,0.843219981783645,0,0,-1.1045197740113,-2,0.735748681006315,0,0,-1.1747311827957,-2,0.768491793739047,0,0,-1.20971867007673,-2,0.784892240275829
"5",0,5,1.64705882352941,1,1.95088653287677,0,3,1.5,1.5,1.77487509432594,0,2,2.1,2.5,1.09007807582072,0,1,1.57142857142857,2,0.66774624755781,0,0,0.621212121212121,0.5,0.625573299836799,0,0,0.735632183908046,1,0.771038305738495,0,0,0.447619047619048,1,0.583209913080762,0,0,0.248,1,0.627198610716893,0,0,-0.0208333333333333,0.5,0.640580350114951,0,0,-0.107142857142857,1,0.665479575551568,0,0,-0.0652173913043479,1,0.738167851636878,0,0,-0.065,0,0.756496714501943,0,0,0.0350877192982456,1,0.708242817759913,0,0,0.00406504065040653,1,0.73002704769566,0,0,-0.0297397769516728,0,0.71915968061361,0,0,-0.155172413793103,0,0.715482160311096,0,0,-0.227564102564103,0,0.689782446446552,0,0,-0.0876132930513595,1,0.627109369061148,0,0,0,1,0.630140950989489,0,0,0.0295698924731183,1,0.653567637130735,0,0,0.00511508951406647,1,0.651824554688631
"6",0,5,3.17647058823529,5,2.25138517920825,0,3,1.83333333333333,2.5,1.44443376238309,0,2,3.45,4,0.705785023508088,0,0,2.11904761904762,3.5,0.278393137494471,0,0,1.5,3,0.432458689275013,0,0,1.85057471264368,3,0.374951011248453,0,0,1.88571428571429,3,0.43283438706726,0,0,1.872,3,0.521670539892514,0,0,1.61805555555556,3,0.5483506890958,0,0,1.51785714285714,3,0.623623754084921,0,0,1.41304347826087,3,0.599655699206235,0,0,1.27,2,0.602033224464717,0,0,1.20614035087719,2,0.584234832356632,0,0,1.16260162601626,2,0.564212711949046,0,0,1.10780669144981,2,0.57004184091675,0,0,0.937931034482759,1.5,0.614755031448729,0,0,0.830128205128205,1,0.663946755551985,0,0,0.942598187311178,1,0.612706627133164,0,0,1.01412429378531,1,0.57809973231403,0,0,1.04301075268817,1,0.592174331017141,0,0,1.01790281329923,1,0.573967805171362
"7",0,5,2.94117647058824,5,2.13264476618754,0,2,2.16666666666667,3.5,1.35860606490273,0,2,3.2,4,1.12011938575723,0,0,2.02380952380952,3,0.748906290658995,0,0,1.18181818181818,3,0.802724972623934,0,0,1.27586206896552,3,0.77886721011126,0,0,1.26666666666667,3,0.759798966427965,0,0,1.2,3,0.846819817468054,0,0,0.944444444444444,2.5,0.872302813817819,0,0,0.744047619047619,2,0.848618630974402,0,0,0.657608695652174,2,0.911778456000988,0,0,0.565,2,0.932823731801787,0,0,0.605263157894737,2,0.908775210262688,0,0,0.556910569105691,1.5,0.923131495886139,0,0,0.468401486988848,1,0.922734628198697,0,0,0.3,1,0.953342033771496,0,0,0.166666666666667,1,1.00007380091892,0,0,0.341389728096677,1,0.909244130063783,0,0,0.457627118644068,1,0.839513549989188,0,0,0.473118279569892,1,0.862635951020311,0,0,0.468030690537084,1,0.859637035667907
"8",0,5,3.05882352941176,4,2.13264476618754,0,1,0.5,1.5,0.888254314435394,0,0,2.25,3,0.131495889312743,0,0,1.83333333333333,3,0.0395260186834332,0,0,0.909090909090909,1,0.373085809023991,0,0,0.873563218390805,1,0.532975794009384,0,0,0.685714285714286,1,0.494151171907157,0,0,0.52,1,0.574978418056844,0,0,0.347222222222222,1,0.598853153659319,0,0,0.172619047619048,0,0.686392928877597,0,0,0.0815217391304348,0,0.692266065787833,0,0,-0.00500000000000012,0,0.754092227143087,0,0,0.0350877192982457,0,0.723681836194864,0,0,-0.024390243902439,0,0.74666881468792,0,0,-0.033457249070632,0,0.753666920628273,0,0,-0.144827586206897,0,0.790734363594019,0,0,-0.224358974358974,0,0.855153515271565,0,0,-0.0996978851963746,0,0.749974665603064,0,0,-0.0141242937853108,0,0.700825345218906,0,0,0.00268817204301075,0,0.706681945606394,0,0,0.0204603580562659,0,0.713254061198501
"9",0,4,2.23529411764706,3,2.09097160229594,0,1,1,2,0.804596526707503,0,1,2.4,4,0.602050907151378,0,0,0.738095238095238,1,0.569732391072913,0,0,0.0303030303030303,1,0.883902670186524,0,0,0.379310344827586,1,0.790235633639334,0,0,0.219047619047619,1,0.748835147234154,0,0,0.0319999999999999,1,0.89227020004329,0,0,-0.194444444444444,1,0.982220396316369,0,0,-0.386904761904762,0,0.996097936135983,0,0,-0.467391304347826,0,0.999859568170434,0,0,-0.585,0,1.07596155711037,0,0,-0.565789473684211,0,1.03145957476813,0,0,-0.617886178861789,0,1.07486600266821,0,0,-0.635687732342007,0,1.04825826395776,0,0,-0.762068965517241,0,1.08826685240821,0,0,-0.849358974358974,0,1.12908272828821,0,0,-0.734138972809668,0,1.08274980207133,0,0,-0.621468926553672,0,0.988373045004501,0,0,-0.629032258064516,0,1.01419400551648,0,0,-0.634271099744245,0,1.02083810378585
"10",0,1,2,4,1.18801333735327,0,2,0.5,0,1.47196014438797,0,1,1.35,2,0.515561657374521,0,0,-0.238095238095238,0,0.389132150796608,0,0,-0.954545454545454,-1,0.654443798378101,0,0,-0.32183908045977,0,0.480740205278561,0,0,0.0952380952380952,0,0.419722490419588,0,0,0.336,1,0.316553648259585,0,0,0.479166666666667,1,0.413511504128419,0,0,0.56547619047619,1,0.460517818141888,0,0,0.760869565217391,1,0.431560634517778,0,0,0.785,1,0.494190859137011,0,0,1.01315789473684,2,0.533965229776026,0,0,1.10162601626016,2,0.570206798880266,0,0,1.13011152416357,2,0.577945842355616,0,0,1.03448275862069,2,0.584345320463183,0,0,1.01602564102564,2,0.599705009460493,0,0,1.11178247734139,2,0.621634234520695,0,0,1.15536723163842,2,0.67420713274914,0,0,1.18010752688172,2,0.689711085386258,0,0,1.19948849104859,2,0.667987576897319
